Question,Answer
애국지사 자녀로 세대주가 된 유족은 영주귀국정착금을 얼마나 받을 수 있나요?,"애국지사 자녀로 세대주가 된 유족에게는 특별 지급 기준이 적용되지 않고 일반 독립유공자의 유족 중 세대주에 해당하는 정착금이 지급되므로, 자녀가 유일한 유족일 경우 7,500만 원을 받게 됩니다."
영주귀국정착금은 언제부터 신청할 수 있나요?,영주귀국정착금 신청은 특별히 정해진 시작 시기가 있지 않습니다. 대상자가 조건에 부합한다면 언제든지 관할 보훈지(방)청에 문의 후 절차에 따라 신청하실 수 있습니다.
영주귀국정착금을 신청할 때 필요한 서류가 있나요?,"영주귀국정착금을 신청할 때 필요한 구체적인 서류는 관할 보훈지(방)청에 문의하셔야 하며, 일반적으로 독립유공자의 증빙서류와 유족임을 입증할 수 있는 서류 등이 요구될 수 있습니다."
며느리도 영주귀국정착금의 대상이 될 수 있나요?,"네, 며느리도 독립유공자의 유족으로서, 1945년 8월 14일 이전 구호적에 기재된 경우에 한하여 세대주가 될 경우 영주귀국정착금의 대상이 될 수 있습니다."
국가유공자 심리재활 지원 서비스를 받으려면 어디로 연락해야 하나요?,심리재활 서비스를 받으시려면 심리재활집중센터로 전화하시면 됩니다. 전화번호는 02-786-7937입니다.
보훈가족 심리재활서비스의 지원 대상에는 어떤 분들이 포함되나요?,국가유공자와 그 유가족 등 보훈가족이 지원 대상에 포함됩니다.
서울 이외에 심리재활서비스를 제공하는 다른 지역 기관은 어디에 있나요?,"부산, 대전, 대구, 광주청, 그리고 인천지청에서도 심리재활서비스를 제공받을 수 있습니다."
우울증이 있는 국가유공자에게 제공되는 심리재활서비스 내용에는 무엇이 포함되나요?,"우울증을 비롯한 심리적 문제를 가진 국가유공자분들께는 기초상담, 심리검사, 그리고 다양한 프로그램이 지원됩니다."
심리재활서비스 신청은 반드시 방문을 통해서만 가능한가요?,"아닙니다, 방문뿐만 아니라 유선 신청을 통해서도 심리재활서비스를 신청하실 수 있습니다."
불면증을 겪고 있는 보훈가족에게 제공되는 지원에 대해 알려주세요.,"불면증 등의 심리적 아픔을 겪고 있는 보훈가족분들을 위해 심리재활 서비스가 제공되며, 이는 상담, 검사, 치유 프로그램 등을 포함합니다."
치유 프로그램 이외에도 국가유공자를 위한 심리지원이 있다면 어떤 것들이 있나요?,기초상담 및 심리검사 또한 국가유공자분들을 위한 심리지원 서비스에 포함되어 있습니다.
국가유공자에게 제공되는 심리재활 서비스를 이용하려면 어떤 절차를 거쳐야 하나요?,서비스 이용을 원하시면 여의도에 위치한 심리재활집중센터 또는 귀하의 거주 지역 청에 방문하거나 유선으로 신청하시면 됩니다.
우울이나 불면 등으로 고통받는 국가유공자를 위한 지원 프로그램의 이름은 무엇인가요?,그런 심리적 아픔을 갖고 계신 국가유공자분들을 위한 지원 프로그램은 '보훈가족 심리재활서비스'입니다.
보훈가족 심리재활 지원 서비스에 관해 조언을 원할 경우 어디로 문의해야 할까요?,보훈가족 심리재활 지원 서비스에 대한 문의는 심리재활집중센터에 전화하여 상담을 받으실 수 있습니다. 연락처는 02-786-7937입니다.
전직지원금을 받기 위한 신청 기간에 제한이 있나요?,"네, 전역 후 6개월이 지나면 신청할 수 없습니다."
중기복무 제대군인이 전직지원금을 신청하려면 어떤 조건을 갖춰야 하나요?,5년 이상 19년 6개월 미만의 복무 기간을 가진 중기복무 제대군인으로서 현재 실업 상태이면서 적극적인 구직 활동을 해야 합니다.
전직지원금은 얼마나 지급되나요?,"장기복무 제대군인에게는 월 70만 원, 중기복무 제대군인에게는 월 50만 원이 6개월간 지급됩니다."
"취업하는 경우, 전직지원금 지급 방식에 변화가 있나요?","예, 취·창업을 하게 되면 그 다음 달부터 남은 기간 동안 받을 예정이었던 총 지급액의 절반을 일시금으로 지급받습니다."
전직지원금을 신청하고자 하는데 어떤 기관에 연락해야 하나요?,관할 제대군인지원센터에 신청하면 됩니다.
제대군인 전직지원금과 관련한 자세한 정보는 어디서 확인할 수 있나요?,제대군인지원센터의 대표번호(☎1666-9279)로 문의하거나 홈페이지를 방문하시면 됩니다.
전직지원금 지원 제외 대상에 해당될 수 있는 경우를 알려주세요.,「군인연금법」에 따른 퇴역연금이나 퇴역연금일시금을 받았거나 받고 있는 제대군인은 제외 대상입니다.
제대군인 전직지원금의 지원 기간은 얼마인가요?,제대군인 전직지원금은 6개월간 지급됩니다.
실업 상태인 제대군인만 전직지원금 신청이 가능한가요?,"예, 실업 상태에서 적극적인 구직 활동을 하고 있는 중·장기복무 제대군인만 신청할 수 있습니다."
반드시 지켜야 할 신청 조건이 또 있나요?,"네, 전역 후 6개월 이내에 신청해야 하며 퇴역연금, 일시금 등을 받고 있지 않아야 합니다."
국가유공자 의료 지원 중 응급진료가 필요할 때 어떤 절차를 밟아야 하나요?,"응급진료가 필요한 국가유공자는 인근 의료기관에서 진료를 받은 후, 입원한 날부터 14일 이내에 관할 보훈관서에 통보해야 합니다."
보훈병원 또는 위탁병원에 내 질병에 대한 전문의가 없을 경우 통원진료는 어떻게 해야 하나요?,"보훈병원 또는 위탁병원에 해당 진료과목의 전문의가 없는 경우, 통원진료를 위하여 보훈관서에 사전 신청할 수 있습니다."
의수나 의지 등 보철구를 지원받고 싶어요. 어떻게 해야 하나요?,"상이처나 질병으로 보철구가 필요한 경우, 주소지 관할 보훈지(방)청에 신청하여 보철구를 맞춰주거나 제작품, 구매품으로 지급받을 수 있습니다."
국가유공자 관련 의료 지원 문의는 어디로 해야 하나요?,국가유공자 의료 지원과 관련된 문의는 주소지 관할 보훈지(방)청 또는 보훈상담센터(☎1577-0606)로 하실 수 있습니다.
외래진료 지원받을 때 꼭 입원해야 하나요?,"아니요, 국가유공자 외래진료 지원은 입원하지 않고 왕래하면서 받는 진료이므로, 입원할 필요 없이 보훈관서에 사전 신청하면 됩니다."
독립유공자도 국가유공자 의료 지원을 받을 수 있나요?,"네, 독립유공자도 국가유공자 의료 지원 대상에 포함되어 의료 지원을 받을 수 있습니다."
국비진료대상자가 아닌데 보철구 지급을 받을 수 있나요?,"보철구 지급은 상이처나 질병으로 보철구가 필요한 국가유공자에 한해 지원되므로, 국비진료대상자여야 가능합니다."
통원진료를 위한 국가유공자 의료 지원 신청은 어떻게 하나요?,통원진료를 위한 국가유공자 의료 지원 신청은 주소지 관할 보훈지(방)청에 해야 합니다.
응급진료를 받았을 때 보훈관서에 통보를 하지 않으면 어떻게 되나요?,"응급진료 받은 사실을 입원한 날부터 14일 이내에 보훈관서에 통보하지 않으면 지원을 받는 데 제약이 있을 수 있으니, 반드시 기간 내에 통보해야 합니다."
보철구 지원을 받기 위해 필요한 서류는 무엇인가요?,"보철구 지원을 받기 위해서는 주소지 관할 보훈지(방)청에 신청 시 필요한 서류를 제출해야 하며, 구체적인 서류 요건은 보훈지(방)청에 문의하시거나 보훈상담센터(☎1577-0606)로 연락하여 안내받으실 수 있습니다."
의무경찰이 공무 중 부상을 입었을 때 어떤 혜택을 받을 수 있나요?,공무 중 부상을 입은 의무경찰은 부상(상이)급여금을 받을 수 있습니다.
교정시설 경비교도의 유족이 재해보상금을 신청하려면 어디로 가야 하나요?,교정시설 경비교도의 유족은 사망(상이)급여금 신청을 위해 주소지 관할 보훈지(방)청에 방문해야 합니다.
의무소방원이 재해보상금을 신청할 때 필요한 문의 전화번호는 무엇인가요?,재해보상금 신청 관련 문의는 보훈상담센터(☎1577-0606)로 하실 수 있습니다.
의무소방원이 순직했을 경우 유족은 어떤 지원을 받게 되나요?,"의무소방원이 순직한 경우, 유족은 사망급여금을 지급받게 됩니다."
복무 중 사고로 인해 사망한 의무경찰의 사망급여금은 어느 기관에서 지급하나요?,복무 중 사망한 의무경찰의 사망급여금은 주소지 관할 보훈지(방)청에서 지급합니다.
전투 중 부상을 입은 의무경찰이 퇴직한 후 어떤 절차를 밟아야 하나요?,전투 중 부상을 입고 퇴직한 의무경찰은 상이급여금을 받기 위해 주소지 관할 보훈지(방)청에 신청해야 합니다.
보훈지(방)청에 재해보상금 신청을 하기 위한 전제 조건은 무엇인가요?,"재해보상금을 신청하기 위한 전제 조건은 복무 중 사망 또는 부상을 입은 의무경찰, 의무소방원, 교정시설 경비교도 본인 또는 유족이어야 합니다."
의무소방원이 재해보상금을 신청하고자 할 때 어떤 절차를 따라야 하나요?,재해보상금을 신청하고자 하는 의무소방원은 주소지 관할 보훈지(방)청에 신청해야 합니다.
"의무소방원이 사망한 경우, 유족은 보훈지(방)청에 어떤 서류를 제출해야 하나요?",유족은 사망급여금을 신청하기 위해 필요한 서류를 가지고 주소지 관할 보훈지(방)청에 제출해야 합니다.
의무경찰의 부상으로 인해 상이급여금을 받으려면 어디로 문의해야 하나요?,상이급여금에 대한 문의는 주소지 관할 보훈지(방)청 또는 보훈상담센터(☎1577-0606)로 하실 수 있습니다.
특수임무유공자의 자녀로서 취업수강료 지원을 받으려면 어떤 절차를 거쳐야 하나요?,"특수임무유공자의 자녀가 취업수강료 지원을 받으려면 주소지 관할 보훈(지)청에 신청하고, 지원 적격 여부 확인 및 지원 대상 결정이 이루어진 후, 70% 이상 과정을 이수하고 수강료를 청구하면 신청자 계좌로 입금됩니다."
국가유공자의 배우자가 취업능력개발 지원 프로그램의 혜택을 받으려면 연간 지원 한도는 얼마인가요?,"국가유공자의 배우자가 취업능력개발 지원 프로그램 혜택을 받으려면 연간 지원 한도는 본인의 경우 150만 원, 유가족의 경우 75만 원입니다."
5·18민주유공자 본인이 취업수강료 지원을 신청할 때 기억해야 할 주요 사항은 무엇인가요?,"5·18민주유공자 본인이 취업수강료 지원을 신청할 때는 국가보훈처에서 지정한 과정으로 본인 부담 수강료의 70%를 지원받을 수 있으며, 연간 지원 한도는 본인의 경우 최대 300만 원까지 입니다. 지원 신청은 주소지 관할 보훈(지)청에서 할 수 있습니다."
6·18자유상이자의 자녀로서 직업훈련 장려금 지급을 위해 별도 신청을 해야 하나요?,"직업훈련 장려금은 별도 신청할 필요 없이, 보훈(지)청에서 매분기 말월에 지원 대상 여부를 확인한 후 입소자 본인의 예금계좌로 자동 입금됩니다."
고엽제후유의증 환자의 자녀가 취업수강료를 청구하기 위해 반드시 이수해야 하는 수강 과정의 비율은 어떻게 되나요?,고엽제후유의증 환자의 자녀가 취업수강료를 청구하기 위해서는 신청한 과정의 70% 이상을 이수해야 합니다.
"독립유공자의 손자녀가 취업능력개발 지원 프로그램을 이용할 경우, 연간 지원 가능한 총 금액은 얼마인가요?","독립유공자의 손자녀가 취업능력개발 지원 프로그램을 이용하면, 연간 본인의 경우 최대 300만 원, 유가족의 경우 최대 150만 원까지 지원받을 수 있습니다."
5·18민주유공자의 (조)부모인 제가 2016.6.23.이후 등록자일 경우 취업능력개발 지원 대상에서 제외되나요?,"네, 2016.6.23.이후 등록된 5·18민주유공자의 (조)부모는 취업능력개발 지원 대상에서 제외됩니다."
국가유공자 본인이 공기업 채용시험 준비를 위한 학원수강료 지원을 받을 때 지원받을 수 있는 비율은 어떻게 되나요?,국가유공자 본인이 공기업 채용시험 준비를 위한 학원수강료 지원을 받을 때는 본인 부담 수강료의 70%를 지원받을 수 있습니다.
고엽제후유의증 환자 등록 후 2016.6.23.이후 자녀인 저에게 지급되는 직업훈련 장려금의 금액은 얼마인가요?,직업훈련 장려금은 매 분기별로 월 4만 원씩 지급됩니다.
"대상자가 아닌, 국가보훈처 취업정보시스템 대한 추가적인 문의를 하고 싶습니다. 어디로 연락해야 하나요?",국가보훈처 취업정보시스템에 대한 추가적인 문의는 보훈상담센터(☎1577-0606)로 연락하시면 도움을 받으실 수 있습니다.
"나는 독립유공자의 후손인데, 최근 태풍으로 인해 집이 전파된 경우 어떻게 재해위로금을 신청할 수 있을까요?","전파된 주택에 대한 재해위로금은 500만 원이며, 주소지 관할 보훈지(방)청에 신청하실 수 있습니다."
"우리 아버지께서 참전유공자이신데, 지난 폭염으로 인해 병원에 2주 이상 입원하셔야 했습니다. 입원 치료를 받은 부상에 대한 위로금은 얼마인가요?",2주 이상 입원치료가 필요한 부상에 대한 위로금은 30만 원입니다.
보훈상담센터의 연락처를 알려주시겠어요? 화재로 인한 재산 피해에 대해 문의하고 싶습니다.,보훈상담센터의 연락처는 ☎1577-0606입니다. 해당 번호로 문의하셔서 재산 피해에 대한 상담을 받으실 수 있습니다.
"특수임무유공자 유족인데요, 거주하던 공동주택이 화재 피해로 1800만 원의 손실을 본 경우 위로금은 어느 정도 받을 수 있나요?","공동주택 피해의 경우 1,000만 원 초과 2,000만 원 이하 피해에 대해서는 50만 원의 위로금을 지급받을 수 있습니다."
최근 한파로 인해 저희 집이 반파되었어요. 국가유공자의 자녀로서 지원받을 수 있는 위로금은 얼마인가요?,반파된 주택에 대한 재해위로금은 250만 원입니다.
5·18민주유공자로 등록되어 있습니다. 지진으로 인해 제 주택이 침수되었을 때 받을 수 있는 위로금은 얼마인가요?,주택의 침수 피해에 대한 재해위로금은 50만 원입니다.
저희 마을에 거주 중인 독립유공자의 묘소가 호우로 인해 훼손됐습니다. 이런 경우에도 위로금을 신청할 수 있나요?,"기타 재산 피해에 대한 위로금 신청이 가능하지만, 특별한 경우이므로 보훈지(방)청에 문의하셔서 정확한 안내를 받으시기 바랍니다."
"조부님이 특수임무유공자이셨는데, 특별재난지역에 선포된 감염병 사태로 사망하셨어요. 어떻게 위로금을 신청할 수 있죠?","인명 피해에 대한 사망·실종의 경우 위로금은 500만 원입니다. 감염병으로 인한 특별재난지역 선포 상황에서도 동일하게 적용받으실 수 있으며, 주소지 관할 보훈지(방)청에 신청하시면 됩니다."
공동이용시설이 지진으로 인해 800만 원의 피해를 입었어요. 공동이용시설 피해에 대한 위로금 지급 기준은 어떻게 되나요?,공동이용시설 피해의 경우 500만 원 초과 피해에는 250만 원의 위로금이 지급됩니다.
"제가 보훈보상대상자인데, 최근 호우로 인해 제 차량이 큰 손상을 입었습니다. 차량 피해에 대해서는 어떤 지원을 받을 수 있나요?","차량 피해도 기타 재산 피해에 포함될 수 있으므로, 피해 금액에 따라 최소 30만 원에서 50만 원까지의 위로금을 신청할 수 있습니다. 정확한 금액은 피해 평가에 따라 다르므로 주소지 관할 보훈지(방)청에 문의하셔야 합니다."
국가보훈대상자의 수업료 면제 혜택을 받으려면 어떤 증명서를 학교에 제출해야 하나요?,"대학교의 경우 교육지원대상자 증명서(본인 및 배우자) 또는 대학수업료 등 면제대상자 증명서(자녀 및 손자녀)를 제출해야 하며, 중·고등학교의 경우 보훈청에서 전산자료를 근거로 교육청에 교육지원 대상자를 통보합니다. 단 변동사항이 있을 때는 교육지원대상자 증명서를 발급받아 학교에 제출해야 합니다."
독립유공자의 손자녀도 국가보훈대상자 수업료 면제 혜택을 받을 수 있나요?,"네, 독립유공자의 손자녀도 포함되어 국가보훈대상자의 수업료 면제 혜택을 받을 수 있습니다."
중·고등학교 국가보훈대상자의 학교운영지원비 면제는 어떻게 적용되나요?,"중·고등학교의 경우 학교운영지원비를 포함하여 입학금 및 수업료가 면제되며, 면제증명서가 학교에 제출된 달부터 면제가 적용됩니다."
내 아이가 대학생인데 전몰 유공자인 저의 혜택으로 수업료를 면제받을 수 있나요?,"네, 전몰 유공자의 자녀의 경우 대학수업료 등 면제대상자 증명서를 학교에 제출하면 수업료 면제 혜택을 받을 수 있습니다."
전학을 가게 된 보훈대상자 자녀의 수업료 면제는 어떻게 이루어지나요?,전학을 가는 경우 변동사항이 발생했기 때문에 ‘교육지원대상자 증명서’를 발급받아 전학 갈 학교에 제출해야 수업료 면제 혜택을 받을 수 있습니다.
대학교 수업료 면제는 면제증명서를 제출한 후 언제부터 적용되나요?,대학교는 면제증명서를 제출한 이후에 납부기한이 도래하는 학기부터 수업료 면제 혜택이 적용됩니다.
국가보훈대상자 수업료 면제 혜택에 관하여 무엇을 물어보고 싶을 때 어디로 연락하면 좋을까요?,보훈(지)청 또는 보훈상담센터(☎1577-0606)로 문의하시면 됩니다.
중·고등학생이 보훈대상자 혜택을 받기 위해서는 별도의 증명서 제출이 필요한가요?,"아니요, 중·고등학생의 경우 보훈청에서 교육청에 전산자료를 근거로 교육지원 대상자를 통보하기 때문에 본래는 별도로 증명서를 제출할 필요가 없습니다. 다만, 전학과 같은 변동사항이 생긴 경우에는 교육지원대상자 증명서를 제출해야 합니다."
"배우자가 전몰·순직·사망 유공자인 경우, 배우자도 국가보훈대상자 수업료 면제 혜택을 받을 수 있나요?","네, 전몰·순직·사망 유공자의 배우자는 국가보훈대상자 수업료 면제 혜택을 받을 수 있습니다."
국가보훈처 누리집에서 수업료 면제 관련 정보를 찾으려면 어떻게 해야 하나요?,국가보훈처 누리집(http://www.mpva.go.kr)의 예우보상 메뉴에서 지원안내 → 교육지원을 참조하시면 수업료 면제 관련 정보를 확인할 수 있습니다.
4·19혁명공로수당을 받으려면 어떤 조건을 충족해야 하나요?,4·19혁명에 참가하여 건국포장을 받은 사람이 대상입니다.
4·19혁명공로수당은 매월 얼마씩 지급되나요?,"매월 40만 1,000원의 수당이 지급됩니다."
4·19혁명공로수당을 신청하고 싶어요. 어디로 가야 하나요?,주소지 관할 보훈지(방)청에 신청하셔야 합니다.
4·19혁명공로수당과 관련된 문의는 어디로 하면 되나요?,주소지 관할 보훈지(방)청 또는 보훈상담센터(☎1577-0606)로 문의하시면 됩니다.
4·19혁명공로수당 신청 방법을 모르겠어요. 도와주세요.,수당 신청은 주소지 관할 보훈지(방)청을 통해서 하실 수 있습니다.
4·19혁명에 참여했다는 증명으로 무엇이 필요한가요?,4·19혁명에 참여하여 건국포장을 받은 것을 증명해야 합니다.
"거주지가 바뀌었는데, 4·19혁명공로수당을 새로운 주소지에서 신청하려면 어떻게 해야 하나요?",새로운 주소지의 관할 보훈지(방)청에 신청하시면 됩니다.
4·19혁명공로수당 신청을 위해 필요한 서류가 있나요?,구체적인 신청 서류는 주소지 관할 보훈지(방)청에 문의하여 확인하실 수 있습니다.
"해외에 거주하고 있는데, 4·19혁명공로수당을 받을 수 있나요?",수당 신청은 거주지 관할 보훈지(방)청에 하셔야 하므로 해외 거주자의 경우 관련 절차를 보훈지(방)청이나 보훈상담센터에 문의하셔야 합니다.
4·19혁명공로수당을 신청한 후 수령까지 어느 정도 시간이 걸리나요?,수당 신청 후 수령까지 걸리는 시간은 주소지 관할 보훈지(방)청에 문의하여 안내 받으실 수 있습니다.
국가보훈대상자 보훈장학금의 대학원 지급액을 알려주세요.,대학원에 재학 중인 국가보훈대상자에게는 학기별 최고 115만 원까지 보훈장학금이 지급됩니다.
특수학교에 재학 중인 국가보훈대상자는 학기마다 얼마의 장학금을 받을 수 있나요?,특수학교 재학 중인 국가보훈대상자는 학기별로 30만 원의 보훈장학금이 지급됩니다.
대학생인 6·25전몰군경의 자녀 자녀도 보훈장학금을 받을 수 있나요?,"네, 대학에 재학 중인 6·25전몰군경 자녀의 자녀도 학기별 최고 90만 원까지 보훈장학금을 받을 수 있습니다."
2023년 1학기 보훈장학금 신청서 접수기간은 언제까지인가요?,2023년 1학기 보훈장학금 신청서 접수기간은 2023년 4월 3일부터 5월 1일까지입니다.
대학원에 재학 중인 보훈대상자가 장학금을 받으려면 어떻게 해야 하나요?,대학원에 재학 중인 보훈대상자는 신청서 접수기간에 교육기관 소재지 관할 보훈(지)청 보훈과에 신청서를 제출해야 합니다.
보훈장학금을 신청하기 위한 직전학기 성적 기준이 있나요?,"네, 직전학기 성적이 85점 이상인 국가보훈대상자만 보훈장학금 신청이 가능합니다."
2023년 2학기 보훈장학금 신청 기간은 언제인가요?,2023년 2학기 보훈장학금 신청 기간은 2023년 9월 1일부터 10월 2일까지입니다.
국가보훈대상자가 아닌 학생도 보훈장학금을 신청할 수 있나요?,"아니요, 보훈장학금은 국가보훈관계 법령에 따른 교육지원대상자에게만 제공되는 혜택입니다."
보훈장학금과 관련해 더 상세한 정보가 필요하면 어디로 문의하면 되나요?,보훈장학금과 관련한 상세한 정보는 보훈(지)청 및 보훈상담센터(☎1577-0606)로 문의하시거나 국가보훈처 누리집에서 확인할 수 있습니다.
보훈(지)청에서 보훈장학금 지원에 관한 상담을 받고 싶으면 어떤 번호로 연락해야 하나요?,보훈장학금 지원에 관한 상담을 원하시면 보훈상담센터의 전화번호 1577-0606으로 연락하시면 됩니다.
장기복무 제대군인이 받을 수 있는 대부 지원은 무엇인가요?,"10년 이상 현역으로 복무한 후 장교, 준사관, 부사관으로 전역한 제대군인은 주택구입, 아파트분양, 주택임차, 농토구입, 사업자금, 학자금, 생활안정 등의 목적으로 연 2.9~3.9% 저금리로 300만 원부터 최대 8,000만 원까지 대출을 받을 수 있습니다."
제대군인 대부 지원을 위한 대출은 어떻게 상환해야 하나요?,제대군인 대부 지원 대출은 3년에서 20년 동안 상환해야 하는 조건으로 이루어집니다.
주택 임차를 위한 대출을 받고 싶습니다. 어디로 문의해야 하나요?,주택 임차를 위한 대출에 대해서는 거주지 인근의 KB국민은행이나 NH농협은행의 '나라사랑 대출' 창구를 이용하시거나 보훈(지)청 및 보훈상담센터에 문의하실 수 있습니다.
제대군인 대부 지원은 어느 은행에서 이용할 수 있나요?,KB국민은행과 NH농협은행에서 ‘나라사랑 대출’을 통해 제대군인 대부 지원을 이용할 수 있습니다.
나라사랑 대출을 받으려면 어떤 대상자가 되어야 하나요?,"나라사랑 대출은 10년 이상 군 복무 후 장교, 준사관, 부사관으로 전역한 제대군인을 대상으로 합니다."
신용관리 대상자가 나라사랑 대출을 받으려면 어떻게 해야 하나요?,신용관리 대상자는 나라사랑 대출과 관련하여 관할 보훈관서에 문의해야 합니다.
사업자금을 위한 제대군인 대부 지원 대출 금리는 얼마인가요?,제대군인 대부 지원을 통한 사업자금 대출 금리는 연 2.9%에서 3.9% 사이의 저금리입니다.
KB국민은행에서 제대군인 대부 지원에 관해 상담받고 싶어요. 어떻게 연락하면 되나요?,KB국민은행의 제대군인 대부 지원 관련 상담은 1599-9999로 문의하실 수 있습니다.
NH농협은행과 보훈상담센터의 연락처를 알려주세요.,"NH농협은행은 1588-2100으로, 보훈상담센터는 1577-0606으로 연락하실 수 있습니다."
생활안정자금 대출을 받고 싶은데 어떤 조건이 필요한가요?,"생활안정자금 대출은 10년 이상 복무 후 전역한 장교, 준사관, 또는 부사관이면 신청 가능하며, 연 2.9~3.9%의 저금리로 대출받을 수 있습니다."
"만약 저의 할아버지가 독립유공자라면, 저는 취업 지원을 받을 수 있나요?","네, 독립유공자의 경우 손자녀까지 취업 지원 대상에 포함되므로 지원을 받을 수 있습니다."
"2012년 7월 1일 이후에 등록된 국가유공자의 자녀는 취업 지원에서 제외된다고 들었는데, 그 이유가 무엇인가요?","법적 기준 및 정책 변경에 따라 일정 시점 이후 등록된 국가유공자의 경우, 몇몇 지원 대상에서 제한을 두어 일관된 취업 지원 기준을 적용하기 위함입니다."
사립학교에서 일하고 싶습니다. 제가 국가유공자 자녀인데 어떤 지원을 받을 수 있나요?,"국가유공자의 자녀로서 사립학교 취업을 희망한다면, 교원을 제외한 직원 정원의 10%에 해당하는 의무채용 혜택을 받을 수 있습니다."
국가기관 또는 공공기관의 특별채용을 원한다면 어떤 절차를 거쳐야 하나요?,"국가기관 등의 특별채용을 원한다면 보훈(지)청에 특별채용 추천 신청을 하고, 추천대상자 선정을 거쳐 채용되는 절차를 밟아야 합니다."
보훈특별고용 통지란 무엇인가요?,보훈특별고용 통지는 사립학교나 기업체 등에서 고용된 보훈 대상자에게 해당 취업이 보훈특별고용에 의한 것임을 알리는 공식적인 통지입니다.
공기업체에 취업을 희망하는데 어떤 혜택을 받을 수 있는지 궁금합니다.,"공기업체에서 국가유공자 등 취업 지원 대상자는 전체 고용인원의 4-9% 이내에서 우선 고용 혜택을 받으며, 이는 관할 보훈(지)청장의 추천을 통해 이루어집니다."
5·18민주유공자의 경우 취업 지원 대상이 어떻게 되나요?,"5·18민주유공자의 경우 본인, 배우자, 자녀, (조)부모가 취업 지원 대상이나, 2016년 6월 23일 이후 등록자의 경우 일부 제한이 있을 수 있습니다."
상이 7급 판정을 받은 특수임무유공자의 자녀로서 취업 시 어떤 지원을 받을 수 있나요?,상이 7급 판정을 받은 특수임무유공자의 자녀는 2016년 11월 30일 이후 등록된 경우 지원 대상에서 제외됩니다. 그 전에 등록되었다면 취업 지원을 받을 수 있습니다.
국가유공자 등 취업 지원 시 채용시험에서 가산점은 어떻게 적용되나요?,"국가유공자 등 취업 지원 대상자는 취업지원대상자 증명서를 제출하고 채용시험을 응시하면, 만점의 5-10%에 해당하는 가점이 부여되어 채용 시 유리한 위치를 확보할 수 있습니다."
"보훈(지)청 및 보훈상담센터에 문의하고 싶은데, 어떤 전화번호로 연락하면 되나요?","보훈 상담과 관련하여 궁금한 사항이 있다면, 보훈(지)청 또는 보훈상담센터의 전화번호 1577-0606으로 문의할 수 있습니다."
기초연금수급자인 독립유공자의 자녀라면 생활지원금 신청이 가능한가요?,"네, 기초연금수급자로서 독립유공자의 자녀 또는 손자녀일 경우, 소득인정액이 기준 중위소득 70% 이하인 경우 생활지원금을 신청하실 수 있습니다."
손자녀도 독립유공자 생활지원금 혜택을 받을 수 있나요?,"네, 독립유공자의 손자녀도 조건에 부합한다면 생활지원금을 받을 수 있는 대상에 포함됩니다."
생활지원금을 신청하고 싶습니다. 어디로 문의해야 하나요?,생활지원금 신청에 관한 문의는 주소지 관할 보훈지(방)청 또는 보훈상담센터(☎1577-0606)로 하시면 됩니다.
가구당 중위소득 기준이 얼마인가요?,4인 기준 중위소득 70%는 378만 675원입니다. 해당 소득 이하일 경우 생활지원금 신청 자격이 부여됩니다.
매월 지급되는 생활지원금의 금액은 어떻게 되나요?,"생활지원금은 소득 수준에 따라 다르지만, 매월 34만 5,000원에서 47만 8,000원까지 지원됩니다."
독립유공자의 자녀로서 생활지원금 신청을 하고 싶어요. 어떤 서류가 필요한가요?,"신청에 필요한 서류는 지역의 보훈지(방)청을 통해 안내받으실 수 있으며, 필요한 서류는 경우에 따라 달라질 수 있습니다."
생활지원금 신청을 위한 소득인정액 계산은 어떻게 하나요?,소득인정액 계산 방법은 복잡할 수 있으니 직접 계산보다는 보훈지(방)청이나 보훈상담센터로 문의하여 정확한 안내를 받으시길 권합니다.
"보상금을 받지 않는 독립유공자의 자녀인데, 모든 자녀가 생활지원금 혜택을 받을 수 있나요?",생활지원금은 소득인정액이 기준 중위소득 70% 이하이거나 기초연금수급자인 경우에 한하여 해당하는 독립유공자의 자녀 또는 손자녀가 받을 수 있습니다.
독립유공자 생활지원금 신청 절차는 어떻게 되나요?,"신청 절차는 주소지 관할 보훈지(방)청에 방문하여 신청하시거나 필요한 서류를 준비하여 접수하면 되며, 구체적인 안내는 해당 보훈지(방)청에서 제공받을 수 있습니다."
기준 중위소득 70% 이하를 초과하는 경우에도 생활지원금을 받을 방법이 있나요?,"아니요, 생활지원금은 기준 중위소득 70% 이하에서만 신청할 수 있으므로, 기준을 초과하는 경우에는 지원 대상에서 제외됩니다."
"만약 내가 을지 무공훈장을 받았고 올해로 60세가 되었다면, 저는 무공영예수당을 얼마나 받게 되나요?","을지 무공훈장 수여자로 만 60세가 되셨다면 매월 46만 5,000원의 무공영예수당을 받게 됩니다."
무공영예수당을 받기 위해서는 어떤 절차를 거쳐야 하나요?,무공영예수당을 받기 위해서는 주소지 관할 보훈지(방)청에 신청하셔야 합니다.
"화랑 무공훈장을 받았을 경우, 무공영예수당은 어떻게 되나요?","화랑 무공훈장 수여자에게는 매월 45만 5,000원의 수당이 지급됩니다."
무공영예수당에 관한 문의를 하려면 어디로 연락해야 하나요?,무공영예수당에 대한 문의는 주소지 관할 보훈지(방)청 또는 보훈상담센터(☎1577-0606)로 하실 수 있습니다.
